5 71 96 48 0 79 14 86 24 91 
20 12 28 89 53 100 72 10 100 51 
87 28 91 13 35 75 36 85 41 85 
33 28 68 72 2 28 48 28 21 86 
85 20 88 73 14 91 6 99 11 76 
48 96 11 17 90 57 31 39 65 61 
51 52 14 69 11 15 67 42 96 70 
57 70 55 67 66 65 53 61 42 75 
82 36 46 69 72 34 18 82 8 19 
91 44 22 7 99 55 35 28 13 17 
13 18 74 34 79 48 30 88 84 93 
63 2 48 19 4 39 29 60 10 21 
56 39 50 39 64 16 79 58 72 57 
94 50 13 95 18 18 12 95 86 97 
74 57 9 27 22 53 60 87 74 27 
11 22 19 92 43 19 98 12 55 29 
58 70 4 74 16 85 62 66 80 6 
9 38 57 16 59 16 67 23 27 99 
61 89 17 68 83 86 12 53 70 32 
82 77 78 95 73 47 59 22 9 67 
67 86 82 87 36 70 70 76 18 1 
60 5 75 75 2 13 87 74 29 61 
86 94 64 69 93 4 85 53 59 35 
7 14 17 18 39 28 86 10 92 80 
90 42 45 86 55 95 23 1 40 3 
55 5 88 4 85 20 84 24 99 100 
47 41 20 4 40 34 34 97 4 18 
86 27 13 45 41 32 22 64 13 69 
80 55 64 26 75 67 53 93 6 9 
29 77 79 39 54 93 6 89 9 85 
92 59 64 55 29 6 9 75 70 32 
47 78 23 49 90 92 28 74 24 7 
80 43 26 97 25 62 48 11 91 97 
90 20 53 41 72 12 20 82 24 69 
100 29 32 68 19 6 25 22 85 40 
83 87 55 24 33 100 80 6 23 80 
0 42 46 56 28 11 27 84 64 67 
6 79 42 79 46 98 93 61 20 2 
21 44 30 89 34 62 17 47 7 31 
82 91 82 22 40 72 48 9 79 24 
40 89 49 67 53 5 70 12 89 75 
27 62 58 85 23 100 63 81 72 29 
99 4 16 100 49 93 28 70 59 52 
29 26 7 56 45 16 44 2 97 18 
13 53 70 78 66 55 39 84 81 64 
2 26 99 59 32 8 42 23 88 91 
76 7 90 95 85 94 91 26 8 12 
69 81 50 86 62 97 16 95 93 18 
30 19 8 78 38 44 98 76 3 54 
23 30 38 31 9 25 81 82 54 43 
54 25 54 99 45 5 30 77 50 24 
67 31 89 15 0 1 13 34 33 67 
23 94 100 79 45 6 42 74 98 29 
47 13 70 53 98 30 76 74 75 84 
89 100 5 6 81 29 6 54 36 38 
67 34 83 41 81 51 87 76 40 100 
40 31 41 33 45 57 40 94 83 21 
39 25 25 23 64 62 34 57 98 59 
100 11 95 90 53 90 92 30 100 4 
62 49 4 24 22 70 64 36 44 41 
40 79 13 73 8 35 34 34 14 50 
17 11 52 6 47 95 68 -1
